Position,Value
-200,1995.4718
-199,917.0676
-198,974.1615
-197,983.7753
-196,1015.468
-195,1004.3678
-194,1004.8273
-193,1076.4238
-192,987.5031
-191,987.4811
-190,1061.7334
-189,1045.6766
-188,1082.209
-187,1034.0167
-186,1050.3529
-185,1062.0159
-184,1106.9586
-183,989.8099
-182,1023.7886
-181,1066.4503
-180,1053.7829
-179,1055.3482
-178,1024.2952
-177,1001.7333
-176,1079.6795
-175,982.5125
-174,986.506
-173,1177.5839
-172,1063.0741
-171,1037.8514
-170,1021.3951
-169,1149.4532
-168,988.3977
-167,991.5993
-166,920.3723
-165,994.4323
-164,1042.0835
-163,1113.0945
-162,1056.9601
-161,950.639
-160,977.5158
-159,1042.2343
-158,1017.2449
-157,1095.4771
-156,1083.9642
-155,1051.2589
-154,1043.3561
-153,1104.8782
-152,1100.4466
-151,1148.997
-150,1052.5302
-149,1031.825
-148,1130.7787
-147,1052.1124
-146,1006.7243
-145,1045.8341
-144,1003.4655
-143,1068.2287
-142,1014.4809
-141,996.7971
-140,1011.4183
-139,1024.9722
-138,983.1707
-137,1011.7823
-136,1030.6577
-135,1071.5435
-134,1012.931
-133,1118.9581
-132,1136.1822
-131,1120.6934
-130,1158.4349
-129,1103.2224
-128,1208.8846
-127,1212.0254
-126,1244.4091
-125,1111.1627
-124,1194.1704
-123,1214.2544
-122,1237.1432
-121,1101.3349
-120,1245.8309
-119,1100.7648
-118,1139.9272
-117,1087.5147
-116,996.1044
-115,1010.4218
-114,1026.7474
-113,978.9857
-112,1060.8376
-111,1069.2792
-110,1026.4322
-109,1018.2946
-108,1081.2161
-107,1061.2433
-106,996.1003
-105,1074.7584
-104,940.3256
-103,1061.1064
-102,1095.1708
-101,1106.0254
-100,1151.2779
-99,1204.8799
-98,1190.7314
-97,1252.3789
-96,1144.8014
-95,1266.74
-94,1312.1361
-93,1356.7026
-92,1334.1682
-91,1270.8958
-90,1334.305
-89,1224.2627
-88,1233.2253
-87,1161.1673
-86,1137.7253
-85,1119.1583
-84,1073.5576
-83,1061.1797
-82,1119.0872
-81,1048.3267
-80,1116.5474
-79,1120.5547
-78,1217.1978
-77,1112.1755
-76,1167.4169
-75,1111.5406
-74,1058.932
-73,1177.5925
-72,1139.9807
-71,1213.8199
-70,1192.7602
-69,1327.2882
-68,1230.8912
-67,1314.1822
-66,1396.7752
-65,1304.9706
-64,1440.4876
-63,1460.6255
-62,1565.2928
-61,1480.626
-60,1414.6457
-59,1545.147
-58,1529.4406
-57,1407.6813
-56,1248.5766
-55,1296.6258
-54,1175.4229
-53,1275.9307
-52,1129.4371
-51,1163.8509
-50,1276.4215
-49,1073.2284
-48,1214.5729
-47,1153.5038
-46,1122.0876
-45,1169.3906
-44,1095.675
-43,1163.0701
-42,1308.8232
-41,1301.8904
-40,1338.8927
-39,1339.6269
-38,1394.8696
-37,1331.4189
-36,1523.6209
-35,1580.1629
-34,1695.7596
-33,1787.8098
-32,1851.1548
-31,1782.849
-30,2117.0333
-29,1949.4868
-28,2006.9727
-27,1602.8208
-26,1289.4441
-25,1325.2395
-24,1369.2051
-23,1295.3042
-22,1342.6825
-21,1492.5319
-20,1397.1761
-19,1658.7059
-18,1547.358
-17,1687.927
-16,1633.3995
-15,1745.2021
-14,1840.1557
-13,2068.4836
-12,2348.4317
-11,2573.5026
-10,2468.195
-9,2862.321
-8,2962.8856
-7,3430.4499
-6,3769.3016
-5,4202.425
-4,4406.4279
-3,4847.6509
-2,5184.377
-1,4956.8463
0,99332.2303
1,4956.8463
2,5184.377
3,4847.6509
4,4406.4279
5,4202.425
6,3769.3016
7,3430.4499
8,2962.8856
9,2862.321
10,2468.195
11,2573.5026
12,2348.4317
13,2068.4836
14,1840.1557
15,1745.2021
16,1633.3995
17,1687.927
18,1547.358
19,1658.7059
20,1397.1761
21,1492.5319
22,1342.6825
23,1295.3042
24,1369.2051
25,1325.2395
26,1289.4441
27,1602.8208
28,2006.9727
29,1949.4868
30,2117.0333
31,1782.849
32,1851.1548
33,1787.8098
34,1695.7596
35,1580.1629
36,1523.6209
37,1331.4189
38,1394.8696
39,1339.6269
40,1338.8927
41,1301.8904
42,1308.8232
