Position	Value
-200	3340.0253
-199	6627.5558
-198	6669.1876
-197	6655.3193
-196	6692.2335
-195	6758.3205
-194	6897.2608
-193	6919.7912
-192	6832.83
-191	7044.8041
-190	6975.2502
-189	7019.7598
-188	7027.7756
-187	6926.8573
-186	7035.0478
-185	6993.4125
-184	7036.7872
-183	6956.4882
-182	6986.0665
-181	6985.8517
-180	7075.3115
-179	6739.9771
-178	6804.2566
-177	6783.9615
-176	6760.9894
-175	6736.8574
-174	6830.5039
-173	6814.7115
-172	6703.4861
-171	6787.173
-170	6829.0029
-169	6662.6183
-168	6821.5498
-167	6943.7922
-166	6822.4939
-165	6830.9692
-164	7090.7538
-163	7003.0378
-162	6894.0838
-161	7030.3303
-160	7165.7714
-159	7193.5971
-158	7150.993
-157	7038.054
-156	7140.6632
-155	7116.3651
-154	7028.9941
-153	7033.0669
-152	6914.5895
-151	7149.4786
-150	7056.9777
-149	7038.3943
-148	7081.8314
-147	7148.624
-146	6997.2393
-145	7033.2115
-144	7085.3885
-143	6877.8851
-142	6918.1126
-141	6919.5196
-140	6803.4175
-139	6796.813
-138	6862.5245
-137	6897.2338
-136	6953.4004
-135	6806.0456
-134	7073.6688
-133	7017.5838
-132	7101.4827
-131	7111.1897
-130	6977.1832
-129	7050.3332
-128	7136.7759
-127	7054.252
-126	7191.4101
-125	7005.0936
-124	6962.6732
-123	7125.3532
-122	7185.7628
-121	7044.1602
-120	7113.1648
-119	7134.5374
-118	7311.6093
-117	7573.8566
-116	7499.686
-115	7395.4784
-114	7456.6085
-113	7426.153
-112	7386.6957
-111	7407.7444
-110	7412.715
-109	7466.7295
-108	7445.9635
-107	7404.2607
-106	7463.9744
-105	7398.2522
-104	7366.7401
-103	7361.8873
-102	7277.8154
-101	7317.0295
-100	7144.1887
-99	7249.953
-98	7118.4893
-97	7370.3903
-96	7435.2711
-95	7353.5688
-94	7429.251
-93	7451.9399
-92	7442.0224
-91	7540.9941
-90	7474.8585
-89	7495.6291
-88	7524.93
-87	7759.3214
-86	7557.4974
-85	7791.2433
-84	7805.9939
-83	7839.159
-82	7794.8055
-81	7782.0654
-80	7809.0096
-79	7751.812
-78	7638.4579
-77	7698.6164
-76	7559.8049
-75	7603.3912
-74	7397.3953
-73	7441.7477
-72	7438.4712
-71	7318.919
-70	7189.2289
-69	7263.5525
-68	7234.6635
-67	7450.5103
-66	7501.1024
-65	7537.2094
-64	7425.6911
-63	7571.3625
-62	7495.8332
-61	7560.3649
-60	7726.5689
-59	7659.0833
-58	7790.86
-57	7764.6583
-56	8019.3663
-55	8110.2514
-54	8113.3283
-53	8019.1613
-52	8130.8106
-51	7945.5504
-50	8004.1705
-49	7873.714
-48	7795.1688
-47	7737.4147
-46	7582.2045
-45	7506.2553
-44	7516.093
-43	7427.0232
-42	7539.9245
-41	7196.2909
-40	7255.524
-39	7380.3361
-38	7458.362
-37	7544.0874
-36	7635.0727
-35	7590.8035
-34	7712.8398
-33	7918.9744
-32	8273.8072
-31	8465.1853
-30	8699.9273
-29	8965.6853
-28	9079.8129
-27	9388.5675
-26	9231.8224
-25	9121.9373
-24	8818.4938
-23	8758.7908
-22	8436.1119
-21	8440.1252
-20	8189.0216
-19	8233.5591
-18	8186.5404
-17	8323.9242
-16	8699.0384
-15	8917.0586
-14	9212.077
-13	9864.2253
-12	10136.1358
-11	10823.3417
-10	11555.5918
-9	12088.7893
-8	13626.3777
-7	14389.7769
-6	16011.0434
-5	18599.5678
-4	20201.3228
-3	23619.4062
-2	29410.3729
-1	34916.2307
0	179774.1431
1	34916.2307
2	29410.3729
3	23619.4062
4	20201.3228
5	18599.5678
6	16011.0434
7	14389.7769
8	13626.3777
9	12088.7893
10	11555.5918
11	10823.3417
12	10136.1358
13	9864.2253
14	9212.077
15	8917.0586
16	8699.0384
17	8323.9242
18	8186.5404
19	8233.5591
20	8189.0216
21	8440.1252
22	8436.1119
23	8758.7908
24	8818.4938
25	9121.9373
26	9231.8224
27	9388.5675
28	9079.8129
29	8965.6853
30	8699.9273
31	8465.1853
32	8273.8072
33	7918.9744
34	7712.8398
35	7590.8035
36	7635.0727
37	7544.0874
38	7458.362
39	7380.3361
40	7255.524
41	7196.2909
42	7539.9245
43	7427.0232
44	7516.093
45	7506.2553
46	7582.2045
47	7737.4147
48	7795.1688
49	7873.714
50	8004.1705
51	7945.5504
52	8130.8106
53	8019.1613
54	8113.3283
55	8110.2514
56	8019.3663
57	7764.6583
58	7790.86
59	7659.0833
60	7726.5689
61	7560.3649
62	7495.8332
63	7571.3625
64	7425.6911
65	7537.2094
66	7501.1024
67	7450.5103
68	7234.6635
69	7263.5525
70	7189.2289
71	7318.919
72	7438.4712
73	7441.7477
74	7397.3953
75	7603.3912
76	7559.8049
77	7698.6164
78	7638.4579
79	7751.812
80	7809.0096
81	7782.0654
82	7794.8055
83	7839.159
84	7805.9939
85	7791.2433
86	7557.4974
87	7759.3214
88	7524.93
89	7495.6291
90	7474.8585
91	7540.9941
92	7442.0224
93	7451.9399
94	7429.251
95	7353.5688
96	7435.2711
97	7370.3903
98	7118.4893
99	7249.953
100	7144.1887
101	7317.0295
102	7277.8154
103	7361.8873
104	7366.7401
105	7398.2522
106	7463.9744
107	7404.2607
108	7445.9635
109	7466.7295
110	7412.715
111	7407.7444
112	7386.6957
113	7426.153
114	7456.6085
115	7395.4784
116	7499.686
117	7573.8566
118	7311.6093
119	7134.5374
120	7113.1648
121	7044.1602
122	7185.7628
123	7125.3532
124	6962.6732
125	7005.0936
126	7191.4101
127	7054.252
128	7136.7759
129	7050.3332
130	6977.1832
131	7111.1897
132	7101.4827
133	7017.5838
134	7073.6688
135	6806.0456
136	6953.4004
137	6897.2338
138	6862.5245
139	6796.813
140	6803.4175
141	6919.5196
142	6918.1126
143	6877.8851
144	7085.3885
145	7033.2115
146	6997.2393
147	7148.624
148	7081.8314
149	7038.3943
150	7056.9777
151	7149.4786
152	6914.5895
153	7033.0669
154	7028.9941
155	7116.3651
156	7140.6632
157	7038.054
158	7150.993
159	7193.5971
160	7165.7714
161	7030.3303
162	6894.0838
163	7003.0378
164	7090.7538
165	6830.9692
166	6822.4939
167	6943.7922
168	6821.5498
169	6662.6183
170	6829.0029
171	6787.173
172	6703.4861
173	6814.7115
174	6830.5039
175	6736.8574
176	6760.9894
177	6783.9615
178	6804.2566
179	6739.9771
180	7075.3115
181	6985.8517
182	6986.0665
183	6956.4882
184	7036.7872
185	6993.4125
186	7035.0478
187	6926.8573
188	7027.7756
189	7019.7598
190	6975.2502
191	7044.8041
192	6832.83
193	6919.7912
194	6897.2608
195	6758.3205
196	6692.2335
197	6655.3193
198	6669.1876
199	6627.5558
200	3340.0253
