Position	Value
-200	1159.3194
-199	2340.3856
-198	2336.6927
-197	2311.7043
-196	2322.1278
-195	2277.5439
-194	2289.871
-193	2268.5504
-192	2330.6192
-191	2308.0698
-190	2335.466
-189	2380.5754
-188	2361.7209
-187	2372.0757
-186	2368.6694
-185	2305.8904
-184	2314.5456
-183	2336.1287
-182	2372.176
-181	2329.6645
-180	2344.6089
-179	2327.5959
-178	2352.1277
-177	2371.5869
-176	2336.4379
-175	2341.9814
-174	2401.7594
-173	2347.6522
-172	2353.702
-171	2410.4479
-170	2388.9791
-169	2382.7833
-168	2417.4847
-167	2418.6345
-166	2388.1306
-165	2409.5774
-164	2367.832
-163	2351.2792
-162	2345.5362
-161	2400.5789
-160	2367.1313
-159	2406.3022
-158	2402.6214
-157	2407.8674
-156	2448.881
-155	2425.5751
-154	2415.2724
-153	2394.8452
-152	2381.5369
-151	2395.2742
-150	2410.2008
-149	2381.2644
-148	2344.0313
-147	2424.1785
-146	2380.0324
-145	2429.6438
-144	2478.462
-143	2468.45
-142	2448.4193
-141	2419.5751
-140	2435.1307
-139	2410.7223
-138	2423.2978
-137	2452.4308
-136	2447.1105
-135	2475.9502
-134	2431.7586
-133	2423.3932
-132	2436.0307
-131	2448.9984
-130	2425.104
-129	2451.2156
-128	2447.5654
-127	2539.2748
-126	2548.1397
-125	2495.6949
-124	2483.559
-123	2506.9461
-122	2482.9942
-121	2513.606
-120	2504.8612
-119	2510.1142
-118	2522.7295
-117	2514.2126
-116	2514.9035
-115	2488.2433
-114	2487.1736
-113	2469.1571
-112	2480.0266
-111	2517.5665
-110	2527.4704
-109	2540.7813
-108	2516.7552
-107	2522.8453
-106	2514.5348
-105	2565.7504
-104	2511.0651
-103	2531.7486
-102	2574.5972
-101	2519.0062
-100	2470.6103
-99	2485.5317
-98	2501.1165
-97	2529.0348
-96	2529.7198
-95	2544.1787
-94	2519.1769
-93	2547.2073
-92	2546.0164
-91	2548.9224
-90	2524.0793
-89	2536.6442
-88	2521.2429
-87	2543.7946
-86	2526.9712
-85	2523.2664
-84	2624.9964
-83	2599.3553
-82	2547.2593
-81	2629.7055
-80	2574.8489
-79	2575.2904
-78	2562.1829
-77	2573.7571
-76	2505.5121
-75	2570.2167
-74	2598.1723
-73	2602.7355
-72	2679.392
-71	2609.5511
-70	2636.5511
-69	2659.7368
-68	2643.8909
-67	2616.6206
-66	2639.4427
-65	2584.8561
-64	2589.8776
-63	2648.803
-62	2554.9002
-61	2603.9972
-60	2618.939
-59	2639.0943
-58	2656.1563
-57	2681.443
-56	2610.7171
-55	2629.3378
-54	2639.0724
-53	2645.5376
-52	2675.1721
-51	2678.2917
-50	2633.3705
-49	2629.5235
-48	2681.683
-47	2659.7007
-46	2722.7677
-45	2722.8764
-44	2746.5443
-43	2762.6125
-42	2767.4009
-41	2766.1116
-40	2726.951
-39	2779.5526
-38	2795.434
-37	2756.5833
-36	2819.5438
-35	2748.284
-34	2730.6348
-33	2769.7046
-32	2803.4821
-31	2804.0646
-30	2878.5457
-29	2820.0473
-28	2846.5493
-27	2904.4288
-26	2840.2494
-25	2872.9469
-24	2960.0396
-23	3020.5883
-22	3055.0918
-21	3042.077
-20	2755.8929
-19	2746.1019
-18	2795.387
-17	2821.0626
-16	3005.157
-15	3266.4896
-14	3340.1271
-13	3683.9323
-12	3870.3483
-11	3719.8097
-10	3658.4449
-9	3803.7422
-8	3819.6444
-7	3612.35
-6	3684.9058
-5	4011.0117
-4	5268.6477
-3	6929.882
-2	9006.7123
-1	13632.5777
0	98936.8679
1	13632.5777
2	9006.7123
3	6929.882
4	5268.6477
5	4011.0117
6	3684.9058
7	3612.35
8	3819.6444
9	3803.7422
10	3658.4449
11	3719.8097
12	3870.3483
13	3683.9323
14	3340.1271
15	3266.4896
16	3005.157
17	2821.0626
18	2795.387
19	2746.1019
20	2755.8929
21	3042.077
22	3055.0918
23	3020.5883
24	2960.0396
25	2872.9469
26	2840.2494
27	2904.4288
28	2846.5493
29	2820.0473
30	2878.5457
31	2804.0646
32	2803.4821
33	2769.7046
34	2730.6348
35	2748.284
36	2819.5438
37	2756.5833
38	2795.434
39	2779.5526
40	2726.951
41	2766.1116
42	2767.4009
43	2762.6125
44	2746.5443
45	2722.8764
46	2722.7677
47	2659.7007
48	2681.683
49	2629.5235
50	2633.3705
51	2678.2917
52	2675.1721
53	2645.5376
54	2639.0724
55	2629.3378
56	2610.7171
57	2681.443
58	2656.1563
59	2639.0943
60	2618.939
61	2603.9972
62	2554.9002
63	2648.803
64	2589.8776
65	2584.8561
66	2639.4427
67	2616.6206
68	2643.8909
69	2659.7368
70	2636.5511
