Position	Value
-200	1329.6825
-199	2661.7053
-198	2719.9273
-197	2717.8601
-196	2701.8324
-195	2655.8586
-194	2649.3233
-193	2620.0748
-192	2638.9443
-191	2628.8992
-190	2599.4287
-189	2711.5002
-188	2717.2374
-187	2810.1721
-186	2842.6634
-185	2810.427
-184	2794.6555
-183	2799.8015
-182	2762.2729
-181	2736.16
-180	2848.5624
-179	2825.176
-178	2723.5109
-177	2810.1121
-176	2766.5127
-175	2800.9899
-174	2796.1861
-173	2712.8282
-172	2776.7058
-171	2853.322
-170	2840.6711
-169	2827.4139
-168	2979.7839
-167	2983.039
-166	2944.7663
-165	2890.2972
-164	2865.9215
-163	2883.1424
-162	2914.328
-161	2875.5153
-160	2955.9525
-159	2945.0417
-158	2931.4444
-157	2902.2821
-156	2985.8687
-155	2874.9963
-154	2888.3091
-153	2929.1706
-152	2833.0131
-151	2966.1911
-150	2950.6044
-149	2992.0226
-148	2952.1579
-147	3025.9021
-146	2991.6359
-145	3056.4744
-144	3137.4052
-143	3059.5723
-142	3018.9491
-141	3024.8892
-140	2987.2178
-139	3022.2102
-138	3091.1568
-137	3087.8392
-136	2987.775
-135	3000.1128
-134	2959.4172
-133	2911.3433
-132	2907.27
-131	2951.0356
-130	2952.2322
-129	3062.0996
-128	3076.8597
-127	3039.569
-126	3124.2517
-125	3064.1196
-124	3010.2846
-123	3097.7542
-122	3132.3943
-121	3116.8256
-120	3023.0113
-119	3100.0274
-118	3059.6241
-117	3127.8487
-116	3099.0117
-115	3117.4777
-114	3093.2594
-113	3073.6899
-112	3096.7693
-111	3093.3193
-110	3043.8503
-109	3020.2551
-108	3094.8068
-107	3072.3827
-106	3081.6281
-105	3239.0104
-104	3206.9662
-103	3259.133
-102	3311.4407
-101	3288.2179
-100	3256.2927
-99	3237.2662
-98	3240.2226
-97	3286.4084
-96	3306.5207
-95	3251.0118
-94	3262.544
-93	3328.7182
-92	3306.0115
-91	3276.0917
-90	3275.9694
-89	3237.3107
-88	3287.1717
-87	3458.5708
-86	3418.2116
-85	3378.4288
-84	3408.8471
-83	3286.2943
-82	3331.5173
-81	3360.4583
-80	3284.4845
-79	3332.6958
-78	3390.8952
-77	3372.893
-76	3408.5452
-75	3445.8305
-74	3393.7108
-73	3364.5962
-72	3344.9875
-71	3333.6953
-70	3243.0486
-69	3312.4711
-68	3326.3732
-67	3364.8354
-66	3328.5032
-65	3333.3405
-64	3342.2226
