Position,Value
-200,834102.7441
-199,834446.7361
-198,835760.6077
-197,833554.9514
-196,833198.5091
-195,835172.0204
-194,833108.7643
-193,832643.7057
-192,832805.6934
-191,832019.1588
-190,831442.3534
-189,834183.9682
-188,832725.9847
-187,836147.607
-186,839203.2502
-185,840088.0875
-184,839096.3457
-183,840025.2941
-182,838589.0167
-181,838225.6631
-180,840685.2898
-179,841098.7755
-178,842063.0112
-177,845822.1008
-176,845452.3752
-175,847899.0313
-174,849317.6717
-173,848726.3956
-172,849056.9456
-171,850022.3577
-170,848781.3793
-169,850213.3937
-168,853600.3707
-167,853124.6422
-166,854136.2334
-165,855986.951
-164,855143.9826
-163,857781.8055
-162,862029.1361
-161,861577.2245
-160,863455.0632
-159,865866.658
-158,864224.3357
-157,863841.547
-156,865299.8889
-155,864366.2618
-154,863831.0568
-153,866822.1423
-152,865577.2221
-151,868394.5853
-150,868279.5043
-149,865691.2007
-148,866079.3958
-147,866110.0073
-146,866383.7644
-145,867525.0414
-144,872513.7256
-143,870273.3037
-142,872631.7878
-141,873621.2375
-140,875685.0831
-139,876432.6726
-138,881548.3206
-137,881904.1898
-136,884182.1374
-135,885905.6975
-134,886147.4075
-133,886425.391
-132,889524.6728
-131,888219.1626
-130,890641.5555
-129,893029.7911
-128,894216.4024
-127,894797.0207
-126,895287.3029
-125,893736.0736
-124,893563.0019
-123,893173.362
-122,890875.0678
-121,892318.6799
-120,894410.5889
-119,893576.115
-118,892082.2428
-117,892772.7624
-116,893007.3561
-115,891622.1841
-114,893516.2482
-113,894055.7414
-112,897280.0667
-111,902031.7043
-110,904031.8922
-109,908289.6488
-108,912546.8917
-107,914308.9221
-106,919264.6509
-105,924141.2655
-104,925582.647
-103,928768.022
-102,931613.8705
-101,932549.2443
-100,933532.965
-99,937160.8674
-98,938263.7284
-97,938403.0153
-96,942583.819
-95,939989.0284
-94,941367.7122
-93,946948.9177
-92,944806.6816
-91,946704.7394
-90,949294.0043
-89,947308.1519
-88,948031.1981
-87,952417.1651
-86,953137.0448
-85,957075.1485
-84,961746.7384
-83,962248.9114
-82,965152.1816
-81,968251.0457
-80,970359.6936
-79,975082.6709
-78,981785.3517
-77,985676.1652
-76,987048.1872
-75,990539.5357
-74,991986.8116
-73,995862.8852
-72,1002536.802
-71,1001998.011
-70,1006425.229
-69,1010895.526
-68,1008999.999
-67,1011162.009
-66,1014934.198
-65,1014831.23
-64,1017094.172
-63,1020119.027
-62,1024696.82
-61,1026438.457
-60,1031123.665
-59,1031119.683
-58,1036180.089
-57,1040624.78
-56,1038348.951
-55,1041591.451
-54,1049173.129
-53,1047752.084
-52,1051727.14
-51,1057450.852
-50,1058979.551
-49,1061007.071
-48,1066424.153
-47,1069455.313
-46,1073707.555
-45,1081529.384
-44,1085901.366
-43,1095235.525
-42,1101911.377
-41,1106746.071
-40,1115827.892
-39,1127254.212
-38,1138714.805
-37,1147842.6
-36,1160084.16
-35,1174502.613
-34,1187854.568
-33,1191442.742
-32,1185753.396
-31,1180457.439
-30,1179546.509
-29,1169174.273
-28,1162225.463
-27,1158519.618
-26,1149078.606
-25,1144726.181
-24,1133798.407
-23,1105761.774
-22,1104588.246
-21,1117871.098
-20,1127498.25
-19,1144605.053
-18,1170880.562
-17,1193610.826
-16,1222135.282
-15,1253483.416
-14,1285535.854
-13,1326974.595
-12,1377316.303
-11,1427352.209
-10,1491477.24
-9,1565056.32
-8,1636259.738
-7,1718864.149
-6,1814675.516
-5,1914393.49
-4,2060755.373
-3,2192336.46
-2,2322951.679
-1,2639535.308
0,4322411.768
1,2639535.308
2,2322951.679
3,2192336.46
4,2060755.373
5,1914393.49
6,1814675.516
7,1718864.149
8,1636259.738
9,1565056.32
10,1491477.24
11,1427352.209
12,1377316.303
13,1326974.595
14,1285535.854
15,1253483.416
16,1222135.282
17,1193610.826
18,1170880.562
19,1144605.053
20,1127498.25
21,1117871.098
22,1104588.246
23,1105761.774
24,1133798.407
25,1144726.181
26,1149078.606
27,1158519.618
28,1162225.463
29,1169174.273
30,1179546.509
31,1180457.439
32,1185753.396
33,1191442.742
34,1187854.568
35,1174502.613
36,1160084.16
37,1147842.6
38,1138714.805
39,1127254.212
40,1115827.892
41,1106746.071
42,1101911.377
43,1095235.525
44,1085901.366
45,1081529.384
46,1073707.555
47,1069455.313
48,1066424.153
49,1061007.071
50,1058979.551
51,1057450.852
52,1051727.14
53,1047752.084
54,1049173.129
55,1041591.451
56,1038348.951
57,1040624.78
58,1036180.089
59,1031119.683
60,1031123.665
61,1026438.457
62,1024696.82
63,1020119.027
64,1017094.172
65,1014831.23
66,1014934.198
67,1011162.009
68,1008999.999
69,1010895.526
70,1006425.229
71,1001998.011
72,1002536.802
73,995862.8852
74,991986.8116
75,990539.5357
76,987048.1872
77,985676.1652
78,981785.3517
79,975082.6709
80,970359.6936
81,968251.0457
82,965152.1816
83,962248.9114
84,961746.7384
85,957075.1485
86,953137.0448
87,952417.1651
88,948031.1981
89,947308.1519
90,949294.0043
91,946704.7394
92,944806.6816
93,946948.9177
94,941367.7122
95,939989.0284
96,942583.819
97,938403.0153
98,938263.7284
99,937160.8674
100,933532.965
101,932549.2443
102,931613.8705
103,928768.022
104,925582.647
105,924141.2655
106,919264.6509
107,914308.9221
108,912546.8917
109,908289.6488
110,904031.8922
111,902031.7043
112,897280.0667
113,894055.7414
114,893516.2482
115,891622.1841
116,893007.3561
117,892772.7624
118,892082.2428
119,893576.115
120,894410.5889
121,892318.6799
122,890875.0678
123,893173.362
124,893563.0019
125,893736.0736
126,895287.3029
127,894797.0207
128,894216.4024
129,893029.7911
130,890641.5555
131,888219.1626
132,889524.6728
133,886425.391
134,886147.4075
135,885905.6975
136,884182.1374
137,881904.1898
138,881548.3206
139,876432.6726
140,875685.0831
141,873621.2375
142,872631.7878
143,870273.3037
144,872513.7256
145,867525.0414
146,866383.7644
147,866110.0073
148,866079.3958
149,865691.2007
150,868279.5043
151,868394.5853
152,865577.2221
153,866822.1423
154,863831.0568
155,864366.2618
156,865299.8889
157,863841.547
158,864224.3357
159,865866.658
160,863455.0632
161,861577.2245
162,862029.1361
163,857781.8055
164,855143.9826
165,855986.951
166,854136.2334
167,853124.6422
168,853600.3707
169,850213.3937
170,848781.3793
