Position,Value
-200,61820.5
-199,62421.4
-198,61564.7
-197,62113.4
-196,61950.5
-195,62036.5
-194,62366.9
-193,61866.1
-192,61951.6
-191,61937.3
-190,61902.6
-189,62396.5
-188,62182.9
-187,62263.2
-186,62418.4
-185,61917.9
-184,62370.8
-183,62116.8
-182,61867.3
-181,62355.9
-180,62258.5
-179,62210.2
-178,62577.2
-177,62690.8
-176,62201.5
-175,62781.4
-174,63109.5
-173,63095.2
-172,62400
-171,62556.4
-170,62720.6
-169,63265.2
-168,63207.8
-167,63149.4
-166,63099.1
-165,63973.9
-164,63155.2
-163,63293.4
-162,62929.2
-161,62704
-160,62406.7
-159,62540.8
-158,62797.3
-157,62161.4
-156,61990.9
-155,61898.9
-154,62302.7
-153,63619.8
-152,62986.6
-151,62505.7
-150,62585.4
-149,62960.6
-148,63044.7
-147,63734.9
-146,63356.3
-145,63445.6
-144,63649.6
-143,63681.7
-142,63256.8
-141,63647.3
-140,63439.3
-139,63150.2
-138,63747.4
-137,63631.7
-136,63591.2
-135,62713.1
-134,63536.4
-133,63391.9
-132,63695.4
-131,63496.4
-130,63443
-129,63577.9
-128,63152.7
-127,63780.7
-126,63223.5
-125,63431
-124,62929.3
-123,63351.3
-122,63593.7
-121,63713.9
-120,63470.9
-119,63903.9
-118,63474.4
-117,64714.8
-116,63984.5
-115,64014.7
-114,64965.1
-113,64470.3
-112,64322.9
-111,64170.7
-110,64038.9
-109,63402.3
-108,63659.9
-107,64420.4
-106,63567
-105,63399.3
-104,62335.4
-103,62544.9
-102,62854.3
-101,63416.4
-100,62790.6
-99,62752.3
-98,63000.9
-97,62744.7
-96,63561.5
-95,62990.6
-94,63224.6
-93,63320.5
-92,63769
-91,63296
-90,64310.6
-89,64939
-88,64028.9
-87,64720.3
-86,65013
-85,64703.9
-84,65568
-83,65132.5
-82,65268.2
-81,65472.4
-80,65221.1
-79,64902.6
-78,64393.9
-77,64255
-76,63420.4
-75,63960.3
-74,62732.1
-73,63685
-72,63356.3
-71,63440.7
-70,64371.8
-69,63509.5
-68,64064.4
-67,63885.1
-66,64228.1
-65,64102.1
-64,64799.1
-63,65525.5
-62,64664.4
-61,65743.6
-60,66394
-59,66496.7
-58,67429.4
-57,67132.2
-56,67329.2
-55,67793.9
-54,68360
-53,67630.5
-52,67469.1
-51,66379
-50,64635.1
-49,64045.8
-48,63158.8
-47,63279.2
-46,63368
-45,62971.5
-44,62446
-43,62324.2
-42,62560.7
-41,62530.5
-40,62964.2
-39,62862
-38,63273.7
-37,64579.7
-36,66094.2
-35,66053.4
-34,66267.1
-33,67596.2
-32,69193.1
-31,70003.1
-30,72799
-29,75544.8
-28,78218.5
-27,79444.7
-26,77782.3
-25,75498.9
-24,71636.3
-23,67491.3
-22,66177.4
-21,68393.4
-20,69991.4
-19,71620.5
-18,73607.1
-17,75417.1
-16,77949.2
-15,79462.8
-14,79649.1
-13,83057.5
-12,85662.6
-11,89099.9
-10,94204.8
-9,99120.5
-8,108610
-7,113469
-6,123916
-5,138692
-4,144564
-3,161983
-2,211520
-1,215840
0,916612
1,215840
2,211520
3,161983
4,144564
5,138692
6,123916
7,113469
8,108610
9,99120.5
10,94204.8
11,89099.9
12,85662.6
13,83057.5
14,79649.1
15,79462.8
16,77949.2
17,75417.1
18,73607.1
19,71620.5
20,69991.4
21,68393.4
22,66177.4
23,67491.3
24,71636.3
25,75498.9
26,77782.3
27,79444.7
28,78218.5
29,75544.8
30,72799
31,70003.1
32,69193.1
33,67596.2
34,66267.1
35,66053.4
36,66094.2
37,64579.7
38,63273.7
39,62862
40,62964.2
41,62530.5
42,62560.7
43,62324.2
44,62446
45,62971.5
46,63368
47,63279.2
48,63158.8
49,64045.8
50,64635.1
51,66379
52,67469.1
53,67630.5
54,68360
55,67793.9
56,67329.2
57,67132.2
58,67429.4
59,66496.7
60,66394
61,65743.6
62,64664.4
63,65525.5
64,64799.1
65,64102.1
66,64228.1
67,63885.1
68,64064.4
69,63509.5
70,64371.8
71,63440.7
72,63356.3
73,63685
74,62732.1
75,63960.3
76,63420.4
77,64255
78,64393.9
79,64902.6
80,65221.1
81,65472.4
82,65268.2
83,65132.5
84,65568
85,64703.9
86,65013
87,64720.3
88,64028.9
89,64939
90,64310.6
91,63296
92,63769
93,63320.5
94,63224.6
95,62990.6
96,63561.5
97,62744.7
98,63000.9
99,62752.3
100,62790.6
101,63416.4
102,62854.3
103,62544.9
104,62335.4
105,63399.3
106,63567
107,64420.4
108,63659.9
109,63402.3
110,64038.9
111,64170.7
112,64322.9
113,64470.3
114,64965.1
115,64014.7
116,63984.5
117,64714.8
118,63474.4
119,63903.9
120,63470.9
121,63713.9
122,63593.7
123,63351.3
124,62929.3
125,63431
126,63223.5
127,63780.7
128,63152.7
129,63577.9
130,63443
131,63496.4
132,63695.4
133,63391.9
134,63536.4
135,62713.1
136,63591.2
137,63631.7
138,63747.4
139,63150.2
140,63439.3
141,63647.3
142,63256.8
143,63681.7
