Position	Value
-200	9816.97
-199	9645.36
-198	9542.22
-197	10209.5
-196	9920.67
-195	9837.38
-194	9975.35
-193	10467.5
-192	9915.68
-191	10249
-190	10316.6
-189	10121.5
-188	10534.7
-187	10361.3
-186	10749
-185	10445.7
-184	10228.8
-183	10278.1
-182	10078.3
-181	10151.9
-180	10424.1
-179	10145.8
-178	9736.79
-177	10044.8
-176	10033.1
-175	9852.26
-174	9751.51
-173	9711.79
-172	9945.07
-171	9660.23
-170	9834.12
-169	9715.9
-168	10097.3
-167	10291.3
-166	10152.5
-165	10513.3
-164	10752.8
-163	10514.9
-162	10787.9
-161	10520.2
-160	10455.3
-159	10895.1
-158	10809.8
-157	11191.6
-156	10893.9
-155	10843.9
-154	11155.2
-153	10694.9
-152	10524.2
-151	10546.5
-150	10516.4
-149	10733.5
-148	10310.4
-147	10260.8
-146	10100.5
-145	10148.3
-144	10321.8
-143	9860.21
-142	10431.6
-141	10381
-140	10665.7
-139	10334.3
-138	10310.8
-137	10345.8
-136	10399.2
-135	10887.9
-134	10596.5
-133	10745.9
-132	10902.9
-131	10933
-130	10892.7
-129	11259
-128	11647.3
-127	11442.3
-126	12061.4
-125	11612.2
-124	11768.3
-123	12049.7
-122	12092.1
-121	11940
-120	11653
-119	11606.3
-118	11204.2
-117	11062.3
-116	10836.1
-115	10196.4
-114	10588.6
-113	10181
-112	10369.4
-111	9960.48
-110	10299.5
-109	10382.3
-108	10659
-107	10463.9
-106	11086.9
-105	10672.7
-104	11189.1
-103	11249.6
-102	11517.6
-101	11768.5
-100	11862.2
-99	12414.1
-98	12694.9
-97	12718.6
-96	12814.4
-95	13044
-94	13321.2
-93	13108.1
-92	13021.7
-91	13129.1
-90	13110.1
-89	12545.3
-88	12168.5
-87	11981.5
-86	11614.6
-85	11391
-84	10947.3
-83	10689.1
-82	10736
-81	10532.5
-80	10161
-79	10302.9
-78	10283
-77	10679
-76	10359.5
-75	10733.6
-74	10678.6
-73	11162.6
-72	11270.5
-71	11629.7
-70	12049.7
-69	12255.4
-68	12526.7
-67	12657
-66	13535.2
-65	13922.7
-64	14275.6
-63	14992.9
-62	15002.7
-61	14877
-60	14709.2
-59	14456.1
-58	13958.5
-57	13860
-56	12844.5
-55	12240.1
-54	11571.8
-53	10786.2
-52	10373.3
-51	10660.5
-50	10509.9
-49	9832.86
-48	10051.5
-47	9962.96
-46	10415.1
-45	10397.5
-44	10204.3
-43	10387.5
-42	11107.7
-41	11103.7
-40	11087.1
-39	12376.8
-38	12733.7
-37	13654.4
-36	14111.2
-35	14416
-34	14735.6
-33	15656.6
-32	16435.8
-31	16186.6
-30	17516.8
-29	16037.1
-28	16097.2
-27	16742.2
-26	14620.9
-25	11900.7
-24	11181.1
-23	10092.1
-22	9708.14
-21	10169.4
-20	10239.3
-19	10057.3
-18	10069.3
-17	10460.9
-16	11014
-15	11401.1
-14	11437.1
-13	12889.8
-12	14778.9
-11	16845
-10	18827.7
-9	21536.2
-8	22816.9
-7	28011.6
-6	34146.9
-5	38381.4
-4	46246.9
-3	54754.7
-2	64976.5
-1	73747.8
0	638285
1	73747.8
2	64976.5
3	54754.7
4	46246.9
5	38381.4
6	34146.9
7	28011.6
8	22816.9
9	21536.2
10	18827.7
11	16845
12	14778.9
13	12889.8
14	11437.1
15	11401.1
16	11014
17	10460.9
18	10069.3
19	10057.3
20	10239.3
21	10169.4
22	9708.14
23	10092.1
24	11181.1
25	11900.7
26	14620.9
27	16742.2
28	16097.2
29	16037.1
30	17516.8
31	16186.6
32	16435.8
33	15656.6
34	14735.6
35	14416
36	14111.2
37	13654.4
38	12733.7
39	12376.8
40	11087.1
41	11103.7
42	11107.7
43	10387.5
44	10204.3
45	10397.5
46	10415.1
47	9962.96
48	10051.5
49	9832.86
50	10509.9
51	10660.5
52	10373.3
53	10786.2
54	11571.8
55	12240.1
56	12844.5
57	13860
58	13958.5
59	14456.1
60	14709.2
61	14877
62	15002.7
63	14992.9
64	14275.6
65	13922.7
66	13535.2
67	12657
68	12526.7
69	12255.4
70	12049.7
71	11629.7
72	11270.5
73	11162.6
74	10678.6
75	10733.6
76	10359.5
77	10679
78	10283
79	10302.9
80	10161
81	10532.5
82	10736
83	10689.1
84	10947.3
85	11391
86	11614.6
87	11981.5
88	12168.5
89	12545.3
90	13110.1
91	13129.1
92	13021.7
93	13108.1
94	13321.2
95	13044
96	12814.4
97	12718.6
98	12694.9
99	12414.1
100	11862.2
101	11768.5
102	11517.6
103	11249.6
