Position	Value
-200	41124.8
-199	41637.2
-198	41346.7
-197	41356.8
-196	41847.2
-195	42566.9
-194	40846
-193	42971
-192	42656.7
-191	41998.2
-190	42923.9
-189	43121.5
-188	44096.8
-187	43519.4
-186	45444.7
-185	42674.8
-184	43773.2
-183	44126.8
-182	42755.4
-181	43609.9
-180	42926
-179	42001.8
-178	43179.4
-177	43234.1
-176	42464.8
-175	41608.4
-174	41624.6
-173	41317.3
-172	42195.4
-171	42030.8
-170	41349.4
-169	42131.1
-168	43178.1
-167	42975.8
-166	42720.8
-165	44223.2
-164	42868.6
-163	42665.1
-162	43473.6
-161	43007.8
-160	44211.5
-159	43635.9
-158	43883.6
-157	44301.9
-156	45711.6
-155	44620
-154	44918.5
-153	45199.1
-152	45577.4
-151	44472.4
-150	43879
-149	44634.4
-148	43801.4
-147	42832.4
-146	42553.8
-145	42996.1
-144	42968.2
-143	42916.9
-142	42773.4
-141	42749.6
-140	42005.9
-139	43895.6
-138	42122
-137	44037.9
-136	43623.4
-135	44263.9
-134	44648.2
-133	44403.3
-132	46007.9
-131	45943.8
-130	47003.5
-129	46504.1
-128	46649.5
-127	46830.2
-126	47246
-125	46904.8
-124	47202.7
-123	48830.8
-122	48417.7
-121	48665.5
-120	47748.5
-119	47625.5
-118	46845.4
-117	46089.6
-116	43976.6
-115	44449.6
-114	45708.9
-113	45220.6
-112	44784.1
-111	44619.5
-110	44725.8
-109	44018.3
-108	44608.8
-107	44993
-106	43990.9
-105	44763.9
-104	43902.2
-103	44383.7
-102	45827
-101	45982.8
-100	46084.7
-99	47171.5
-98	48177.4
-97	47939.7
-96	49034.6
-95	48824.4
-94	49309.1
-93	50189.7
-92	49909.9
-91	49966.7
-90	50493
-89	49506.3
-88	49308.8
-87	48042
-86	48071.8
-85	45476
-84	46063.6
-83	44448.2
-82	45152.9
-81	45636.4
-80	45171
-79	45381.3
-78	46167.9
-77	45825.6
-76	46383.3
-75	47039.3
-74	46162.2
-73	47683.9
-72	47560.3
-71	47847
-70	49747.6
-69	49575.2
-68	49794.1
-67	52459.7
-66	52668.4
-65	53464.6
-64	54582.7
-63	56073.2
-62	55886.1
-61	55684.1
-60	54937.5
-59	54230.7
-58	54060.2
-57	54575.7
-56	52746
-55	52355.9
-54	50879.2
-53	49166
-52	49039.1
-51	48602.5
-50	48786.3
-49	47571.6
-48	48323.8
-47	48217.4
-46	47973.6
-45	48550.8
-44	48953.5
-43	49650.2
-42	50141.9
-41	50367.6
-40	50304.4
-39	52029.6
-38	52132
-37	53113.6
-36	54865.3
-35	56262.9
-34	58773.9
-33	59679.9
-32	62011.1
-31	61668.3
-30	62661
-29	61730.4
-28	59037.2
-27	56684.5
-26	54896.7
-25	53427
-24	54095.9
-23	54331
-22	53690.3
-21	54902.4
-20	54873.8
-19	54513.3
-18	54865
-17	55448.5
-16	55091.3
-15	56168.3
-14	57241.6
-13	58497.8
-12	62712.2
-11	64783.3
-10	64244.3
-9	66584
-8	68318.6
-7	71722
-6	72475.5
-5	77655.3
-4	81200.4
-3	85131.8
-2	79757.8
-1	69027.7
0	437350
1	69027.7
2	79757.8
3	85131.8
4	81200.4
5	77655.3
6	72475.5
7	71722
8	68318.6
9	66584
10	64244.3
11	64783.3
12	62712.2
13	58497.8
14	57241.6
15	56168.3
16	55091.3
17	55448.5
18	54865
19	54513.3
20	54873.8
21	54902.4
22	53690.3
23	54331
24	54095.9
25	53427
26	54896.7
27	56684.5
28	59037.2
29	61730.4
30	62661
31	61668.3
32	62011.1
33	59679.9
34	58773.9
35	56262.9
36	54865.3
37	53113.6
38	52132
39	52029.6
40	50304.4
41	50367.6
42	50141.9
43	49650.2
44	48953.5
45	48550.8
46	47973.6
47	48217.4
48	48323.8
49	47571.6
50	48786.3
51	48602.5
52	49039.1
53	49166
54	50879.2
55	52355.9
56	52746
57	54575.7
58	54060.2
59	54230.7
60	54937.5
61	55684.1
62	55886.1
63	56073.2
64	54582.7
65	53464.6
66	52668.4
67	52459.7
68	49794.1
69	49575.2
70	49747.6
71	47847
72	47560.3
73	47683.9
74	46162.2
75	47039.3
76	46383.3
77	45825.6
78	46167.9
79	45381.3
80	45171
81	45636.4
82	45152.9
83	44448.2
84	46063.6
85	45476
86	48071.8
87	48042
88	49308.8
89	49506.3
90	50493
91	49966.7
92	49909.9
93	50189.7
94	49309.1
95	48824.4
96	49034.6
97	47939.7
98	48177.4
99	47171.5
100	46084.7
101	45982.8
102	45827
103	44383.7
104	43902.2
105	44763.9
106	43990.9
107	44993
108	44608.8
109	44018.3
110	44725.8
111	44619.5
112	44784.1
113	45220.6
114	45708.9
115	44449.6
116	43976.6
117	46089.6
118	46845.4
119	47625.5
120	47748.5
121	48665.5
122	48417.7
123	48830.8
124	47202.7
125	46904.8
126	47246
127	46830.2
128	46649.5
129	46504.1
130	47003.5
131	45943.8
132	46007.9
133	44403.3
134	44648.2
135	44263.9
136	43623.4
137	44037.9
138	42122
139	43895.6
140	42005.9
141	42749.6
142	42773.4
143	42916.9
144	42968.2
145	42996.1
146	42553.8
147	42832.4
148	43801.4
149	44634.4
150	43879
151	44472.4
152	45577.4
153	45199.1
154	44918.5
155	44620
156	45711.6
157	44301.9
158	43883.6
159	43635.9
160	44211.5
161	43007.8
162	43473.6
163	42665.1
164	42868.6
165	44223.2
166	42720.8
167	42975.8
168	43178.1
169	42131.1
170	41349.4
171	42030.8
172	42195.4
173	41317.3
174	41624.6
175	41608.4
176	42464.8
177	43234.1
178	43179.4
179	42001.8
180	42926
181	43609.9
182	42755.4
183	44126.8
184	43773.2
185	42674.8
186	45444.7
187	43519.4
188	44096.8
189	43121.5
190	42923.9
191	41998.2
192	42656.7
193	42971
194	40846
195	42566.9
196	41847.2
197	41356.8
198	41346.7
199	41637.2
200	41124.8
