Position	Value
-200	7128.4014
-199	14446.0453
-198	14682.6006
-197	14554.5515
-196	14337.8256
-195	14786.6767
-194	14952.6337
-193	14557.257
-192	14943.6919
-191	14920.8353
-190	14976.8062
-189	15055.5727
-188	14936.9356
-187	15114.0736
-186	14895.4749
-185	14681.2401
-184	15212.806
-183	15163.8856
-182	14833.0831
-181	14686.6128
-180	14420.2676
-179	14284.1664
-178	14667.4469
-177	14217.9342
-176	14335.1676
-175	14076.7724
-174	14303.0576
-173	14922.9821
-172	14495.3743
-171	14445.001
-170	14896.7069
-169	14657.8852
-168	14739.1408
-167	15241.1869
-166	15156.9154
-165	15082.7533
-164	15527.061
-163	15596.4917
-162	15648.4454
-161	15403.5714
-160	15550.0471
-159	15937.927
-158	16057.1475
-157	15846.1127
-156	16082.5226
-155	16140.855
-154	16040.5663
-153	15868.9356
-152	15968.6944
-151	16122.2502
-150	15352.0952
-149	15567.0609
-148	14579.1627
-147	14534.6531
-146	14712.9979
-145	14820.0124
-144	14601.5638
-143	14749.5005
-142	14589.3264
-141	14806.03
-140	14787.7231
-139	15160.7966
-138	15021.9188
-137	14994.2861
-136	15154.0757
-135	15248.602
-134	15436.1404
-133	15048.3098
-132	15794.5279
-131	15784.3997
-130	16160.5336
-129	16132.4007
-128	16777.9984
-127	16523.2984
-126	16782.2747
-125	16860.9704
-124	16903.0249
-123	17084.7062
-122	16845.73
-121	16651.2272
-120	16955.3083
-119	15898.0104
-118	16093.0994
-117	15760.1039
-116	15094.9042
-115	15127.7766
-114	15294.4907
-113	14870.8161
-112	14765.5345
-111	14797.1866
-110	15156.3662
-109	14742.6113
-108	15358.4921
-107	15077.2993
-106	15342.1266
-105	15535.4949
-104	15352.711
-103	15707.2521
-102	16519.5534
-101	16593.0549
-100	16329.434
-99	16800.0863
-98	17415.9259
-97	17437.9094
-96	17959.4798
-95	18125.7671
-94	18212.196
-93	18702.2587
-92	18365.3198
-91	17783.0228
-90	17435.2643
-89	17594.6655
-88	16798.8486
-87	16391.4197
-86	15995.5848
-85	15571.6376
-84	15476.3471
-83	15210.3148
-82	14799.96
-81	14903.0432
-80	15065.9067
-79	15076.0166
-78	14843.7238
-77	15370.8635
-76	15334.7767
-75	15765.1342
-74	15599.2423
-73	16050.0517
-72	16628.434
-71	16566.5075
-70	17316.1593
-69	17672.2907
-68	17756.2657
-67	18461.1107
-66	19010.636
-65	19137.2088
-64	19719.6785
-63	20352.7573
-62	20483.4366
-61	19881.0964
-60	19779.2928
-59	19708.9289
-58	18751.2438
-57	18187.9868
-56	17082.9551
-55	16445.5764
-54	15613.7759
-53	15159.1572
-52	14827.0423
-51	14817.5849
-50	14734.6058
-49	14604.7066
-48	14730.276
-47	14646.7027
-46	14445.9776
-45	14836.054
-44	14736.5007
-43	15189.2403
-42	16001.1493
-41	16114.8636
-40	16319.379
-39	17633.118
-38	17573.1535
-37	18875.1479
-36	19559.8728
-35	20215.205
-34	21219.221
-33	22743.0059
-32	22583.5329
-31	23743.4408
