Position	Value
-200	56709.9169
-199	113440.1258
-198	113680.8831
-197	115026.8729
-196	113969.4604
-195	115418.3469
-194	114738.7822
-193	115328.6901
-192	116313.6766
-191	114338.3082
-190	114860.2993
-189	116458.4421
-188	116707.6314
-187	116739.5484
-186	117852.593
-185	116201.7179
-184	117784.4365
-183	117698.8715
-182	116279.7713
-181	117510.1276
-180	116664.0022
-179	115282.4911
-178	116143.2794
-177	117012.5329
-176	116114.5376
-175	115432.6547
-174	116085.169
-173	115680.6996
-172	116100.2214
-171	117232.2657
-170	116011.33
-169	117380.8646
-168	117538.7428
-167	116966.4355
-166	117008.287
-165	117610.1209
-164	117411.5593
-163	117943.5103
-162	117875.4406
-161	118131.1883
-160	117728.9542
-159	118696.7094
-158	118828.6629
-157	118889.8742
-156	121108.4854
-155	120116.5257
-154	119482.3379
-153	119130.4508
-152	120647.5309
-151	119159.334
-150	119482.5964
-149	118875.413
-148	118122.8127
-147	118034.7326
-146	116938.0626
-145	117081.6722
-144	117713.0011
-143	116117.0403
-142	116295.5278
-141	116531.3445
-140	115292.1479
-139	117978.8844
-138	117391.0835
-137	118053.4979
-136	118658.9842
-135	119303.1794
-134	119054.4527
-133	118449.5392
-132	121738.0708
-131	120598.5835
-130	122765.4973
-129	122041.8311
-128	121955.2371
-127	122912.9645
-126	125191.3029
-125	123430.0399
-124	123957.3936
-123	123988.2524
-122	123642.656
-121	124566.373
-120	122997.9048
-119	122734.9053
-118	123659.8701
-117	122604.9542
-116	119754.9085
-115	121306.9217
-114	121536.7675
-113	121097.9107
-112	119994.2324
-111	121506.8218
-110	120610.1065
-109	120048.726
-108	121732.9826
-107	121035.5816
-106	119872.8695
-105	121851.9567
-104	120154.5007
-103	121280.6724
-102	123381.3939
-101	121604.4415
-100	122876.6161
-99	124672.6812
-98	125264.4367
-97	124766.618
-96	127239.8191
-95	126747.3542
-94	126575.933
-93	128905.5417
-92	127922.0947
-91	127642.9957
-90	127058.5017
-89	126659.5513
-88	127658.8139
-87	125733.1277
-86	123484.8458
-85	124001.0454
-84	124639.2998
-83	122347.4414
-82	122698.5803
-81	122950.2407
-80	122003.3114
-79	121430.9223
-78	122253.5878
-77	122324.1408
-76	123127.0196
-75	124518.8543
-74	122563.8464
-73	123668.8801
-72	125844.2994
-71	126674.7134
-70	126422.5227
-69	128209.7742
-68	128167.4167
-67	129073.8306
-66	132151.8964
-65	133521.0592
-64	134333.0121
-63	137763.4239
-62	138630.7583
-61	136989.8253
-60	135824.7024
-59	136433.642
-58	137248.2952
-57	135306.6004
-56	131782.9511
-55	132090.9356
-54	130591.7993
-53	128366.8429
-52	128507.1788
-51	129287.5191
-50	129299.356
-49	126359.2261
-48	129701.4336
-47	128248.489
-46	128064.5173
-45	129287.311
-44	127981.3906
-43	128035.2774
-42	131673.1905
-41	130749.0156
-40	131266.784
-39	133312.0292
-38	131572.8386
-37	134185.0153
-36	137207.383
-35	137666.2355
-34	142346.997
-33	143648.2837
-32	143853.6897
-31	146838.8137
-30	150994.9807
-29	148294.4861
-28	142962.9639
-27	137931.1927
-26	136732.1384
-25	137315.3705
-24	137764.6585
-23	134411.5443
-22	134853.0966
-21	136651.4953
-20	139011.5172
-19	140288.5842
-18	142411.7676
-17	143198.8101
-16	143695.1595
-15	146609.329
-14	149370.7087
-13	154253.5117
-12	163470.6657
-11	167735.4637
-10	171874.4468
-9	181451.1076
-8	190127.3249
-7	199470.6142
-6	210787.7848
-5	226625.5468
-4	235786.8931
-3	269611.2275
-2	246209.3754
-1	240105.1255
0	996052.908
1	240105.1255
2	246209.3754
3	269611.2275
4	235786.8931
5	226625.5468
6	210787.7848
7	199470.6142
8	190127.3249
9	181451.1076
10	171874.4468
11	167735.4637
12	163470.6657
13	154253.5117
14	149370.7087
15	146609.329
16	143695.1595
17	143198.8101
18	142411.7676
19	140288.5842
20	139011.5172
21	136651.4953
22	134853.0966
23	134411.5443
24	137764.6585
25	137315.3705
26	136732.1384
27	137931.1927
28	142962.9639
29	148294.4861
30	150994.9807
31	146838.8137
32	143853.6897
33	143648.2837
34	142346.997
35	137666.2355
36	137207.383
37	134185.0153
38	131572.8386
39	133312.0292
40	131266.784
41	130749.0156
42	131673.1905
43	128035.2774
44	127981.3906
45	129287.311
46	128064.5173
47	128248.489
48	129701.4336
49	126359.2261
50	129299.356
51	129287.5191
52	128507.1788
53	128366.8429
54	130591.7993
55	132090.9356
56	131782.9511
57	135306.6004
58	137248.2952
59	136433.642
60	135824.7024
61	136989.8253
62	138630.7583
63	137763.4238
64	134333.0121
65	133521.0592
66	132151.8964
67	129073.8306
68	128167.4167
69	128209.7742
70	126422.5227
71	126674.7134
72	125844.2994
73	123668.8801
74	122563.8464
75	124518.8543
76	123127.0196
77	122324.1408
78	122253.5878
79	121430.9223
80	122003.3114
81	122950.2407
82	122698.5803
83	122347.4414
84	124639.2998
85	124001.0454
86	123484.8458
87	125733.1277
88	127658.8139
89	126659.5513
90	127058.5017
91	127642.9957
92	127922.0947
93	128905.5417
94	126575.933
95	126747.3542
96	127239.8191
97	124766.618
98	125264.4367
99	124672.6812
100	122876.6161
101	121604.4415
102	123381.3939
103	121280.6724
104	120154.5007
105	121851.9567
106	119872.8695
107	121035.5816
108	121732.9826
109	120048.726
110	120610.1065
111	121506.8218
112	119994.2324
113	121097.9107
114	121536.7675
115	121306.9217
116	119754.9085
117	122604.9542
118	123659.8701
119	122734.9053
120	122997.9048
121	124566.373
122	123642.656
123	123988.2524
124	123957.3936
125	123430.0399
126	125191.3029
127	122912.9645
128	121955.2371
129	122041.8311
130	122765.4973
131	120598.5835
132	121738.0708
133	118449.5392
134	119054.4527
135	119303.1794
136	118658.9842
137	118053.4979
138	117391.0835
139	117978.8844
140	115292.1479
141	116531.3445
142	116295.5278
143	116117.0403
144	117713.0011
145	117081.6722
146	116938.0626
147	118034.7326
148	118122.8127
149	118875.413
150	119482.5964
151	119159.334
152	120647.5309
153	119130.4508
154	119482.3379
155	120116.5257
156	121108.4854
157	118889.8742
158	118828.6629
159	118696.7094
160	117728.9542
161	118131.1883
162	117875.4406
163	117943.5103
164	117411.5593
165	117610.1209
166	117008.287
167	116966.4355
168	117538.7428
169	117380.8646
170	116011.33
171	117232.2657
172	116100.2214
173	115680.6996
174	116085.169
175	115432.6547
176	116114.5376
177	117012.5329
178	116143.2794
179	115282.4911
180	116664.0022
181	117510.1276
182	116279.7713
183	117698.8715
184	117784.4365
