Position	Value
-200	304.242
-199	701.1203
-198	546.9876
-197	717.0277
-196	699.4281
-195	678.6169
-194	721.6957
-193	748.4328
-192	732.7072
-191	716.0457
-190	812.9876
-189	772.9436
-188	735.9702
-187	760.6624
-186	772.0034
-185	819.0815
-184	814.3148
-183	813.2246
-182	768.7154
-181	715.2498
-180	694.0279
-179	765.6973
-178	778.5563
-177	793.6921
-176	718.2936
-175	755.3851
-174	728.2064
-173	813.0045
-172	820.0546
-171	753.6417
-170	746.6755
-169	717.7138
-168	710.2246
-167	791.4528
-166	816.6985
-165	801.7566
-164	773.3645
-163	783.1815
-162	823.1849
-161	886.115
-160	817.7546
-159	950.419
-158	811.856
-157	875.2918
-156	791.1129
-155	804.72
-154	890.5388
-153	874.654
-152	900.8993
-151	838.1309
-150	859.4851
-149	900.5756
-148	822.5017
-147	862.4472
-146	798.0164
-145	813.516
-144	817.5199
-143	785.6549
-142	736.9429
-141	860.7137
-140	898.0624
-139	914.7773
-138	813.9343
-137	779.5654
-136	951.8315
-135	965.2278
-134	968.9491
-133	965.638
-132	881.0518
-131	926.8118
-130	1026.6165
-129	904.0187
-128	952.2387
-127	935.7868
-126	868.7638
-125	1035.9757
-124	901.1382
-123	970.7471
-122	887.9164
-121	853.4745
-120	780.5308
-119	893.8553
-118	735.6004
-117	738.2399
-116	719.2792
-115	744.7161
-114	649.3419
-113	673.9782
-112	745.9514
-111	773.1566
-110	738.9996
-109	734.2336
-108	741.15
-107	847.9237
-106	829.2504
-105	786.9767
-104	1015.8824
-103	1102.0199
-102	1035.8492
-101	1039.4468
-100	1117.9721
-99	1130.8026
-98	1180.5964
-97	1162.7946
-96	1280.9857
-95	1317.5701
-94	1234.4197
-93	1321.1684
-92	1217.9222
-91	1173.964
-90	1144.9638
-89	1056.0173
-88	970.3889
-87	943.025
-86	834.3438
-85	830.8567
-84	697.5694
-83	703.3533
-82	719.4449
-81	703.2269
-80	701.316
-79	714.934
-78	842.4469
-77	806.2888
-76	849.2238
-75	906.7014
-74	1019.0621
-73	1049.0342
-72	1064.5276
-71	1196.9785
-70	1268.0375
-69	1365.3866
-68	1623.3167
-67	1696.1452
-66	1860.2997
-65	1764.0443
-64	1759.9753
-63	1738.2
-62	1756.8206
-61	1949.5242
-60	1918.8124
-59	1653.0194
-58	1614.4917
-57	1433.2345
-56	1209.7502
-55	1168.2592
-54	1009.4887
-53	1025.9039
-52	882.8247
-51	800.4341
-50	870.9605
-49	846.683
-48	805.7997
-47	782.7317
-46	893.5758
-45	1058.0848
-44	1000.5729
-43	1140.0812
-42	1209.9139
-41	1345.301
-40	1462.0982
-39	1526.601
-38	1812.889
-37	1859.7723
-36	2426.7304
-35	2629.6198
-34	2380.8485
-33	2793.0909
-32	2818.0253
-31	2705.7455
-30	2932.6031
-29	2862.9966
-28	2198.2763
-27	2121.8231
-26	1652.5121
-25	1551.3823
-24	1436.7166
-23	1330.0497
-22	1300.8014
-21	1328.4811
-20	1219.0599
-19	1200.7589
-18	1269.3799
-17	1254.1112
-16	1112.3976
-15	1185.7566
-14	1385.7066
-13	1484.9881
-12	1672.6229
-11	1783.3232
-10	1860.001
-9	2216.7987
-8	2248.0547
-7	2567.6731
-6	2734.7228
-5	3749.3713
-4	3838.1208
-3	4601.4371
-2	4922.9695
-1	5134.4318
0	42982.6254
1	5134.4318
2	4922.9695
3	4601.4371
4	3838.1208
5	3749.3713
6	2734.7228
7	2567.6731
8	2248.0547
9	2216.7987
10	1860.001
11	1783.3232
12	1672.6229
13	1484.9881
14	1385.7066
15	1185.7566
16	1112.3976
17	1254.1112
18	1269.3799
19	1200.7589
20	1219.0599
21	1328.4811
22	1300.8014
23	1330.0497
24	1436.7166
25	1551.3823
26	1652.5121
27	2121.8231
28	2198.2763
29	2862.9966
30	2932.6031
31	2705.7455
32	2818.0253
33	2793.0909
34	2380.8485
35	2629.6198
36	2426.7304
37	1859.7723
38	1812.889
39	1526.601
40	1462.0982
41	1345.301
42	1209.9139
43	1140.0812
44	1000.5729
45	1058.0848
46	893.5758
47	782.7317
48	805.7997
49	846.683
50	870.9605
51	800.4341
52	882.8247
53	1025.9039
54	1009.4887
55	1168.2592
56	1209.7502
57	1433.2345
58	1614.4917
59	1653.0194
60	1918.8124
61	1949.5242
62	1756.8206
63	1738.2
64	1759.9753
65	1764.0443
66	1860.2997
67	1696.1452
68	1623.3167
69	1365.3866
70	1268.0375
71	1196.9785
72	1064.5276
73	1049.0342
74	1019.0621
75	906.7014
76	849.2238
77	806.2888
78	842.4469
79	714.934
80	701.316
81	703.2269
82	719.4449
83	703.3533
84	697.5694
85	830.8567
86	834.3438
