Position	Value
-200	40746.2
-199	40604.5
-198	40413.7
-197	41190.7
-196	40599.3
-195	40657.4
-194	40527.3
-193	40332.2
-192	40523.7
-191	41210.5
-190	41597.1
-189	41035.5
-188	40820.3
-187	41146.8
-186	40943.2
-185	41293.5
-184	40175.4
-183	41379.2
-182	40741.2
-181	41317.8
-180	40616.6
-179	41237.4
-178	41555.2
-177	40711.8
-176	41618.8
-175	40918
-174	40817.5
-173	41262.6
-172	40978.5
-171	41159.2
-170	41597.9
-169	41437.2
-168	41300
-167	40683.7
-166	41328.4
-165	41754.2
-164	41346.8
-163	41277.6
-162	42195.1
-161	41540.2
-160	41736.4
-159	41952.1
-158	41385.8
-157	41790.8
-156	41919.3
-155	41420.3
-154	41724.1
-153	42536.9
-152	41910.7
-151	42615.3
-150	42128.1
-149	42502.7
-148	42525.8
-147	42273.6
-146	42643.6
-145	43121.4
-144	42238.7
-143	43244.6
-142	42823.1
-141	43058.6
-140	43225.3
-139	43444.7
-138	43595.3
-137	43118.6
-136	43139
-135	44460.6
-134	42344.7
-133	43750
-132	43736.2
-131	43386.3
-130	43978.8
-129	42978.5
-128	44073.7
-127	43488.3
-126	43719.6
-125	43118.1
-124	43800.6
-123	43805.3
-122	44300.7
-121	43392.4
-120	44206
-119	43900.5
-118	43864.3
-117	43984.8
-116	43793
-115	43898
-114	44579.3
-113	44483.7
-112	43770.3
-111	44420.4
-110	44118.6
-109	44147.8
-108	43807.2
-107	43976.8
-106	44427.4
-105	43934.2
-104	44276.1
-103	44598.4
-102	43940.8
-101	44730.7
-100	43886.8
-99	44368.8
-98	44195.6
-97	43437.4
-96	44604.2
-95	44087.2
-94	43921.2
-93	44515.9
-92	43808.2
-91	45030.3
-90	43222
-89	44532.2
-88	44307.9
-87	43885.7
-86	44287.6
-85	44152.6
-84	44569.4
-83	44033.3
-82	43792.2
-81	44414.1
-80	43741.6
-79	44384.1
-78	43971.8
-77	44379.4
-76	44463.2
-75	44618.2
-74	45507.9
-73	43953.1
-72	45066.7
-71	45577.6
-70	44877.1
-69	45276.6
-68	45914.7
-67	44756.4
-66	45680.2
-65	45255.4
-64	46059.4
-63	45810.2
-62	46328
-61	46107.9
-60	46587.4
-59	46176.9
-58	46118.2
-57	46171.5
-56	45914.1
-55	45543.1
-54	45954.8
-53	45521.1
-52	45481.3
-51	45622.8
-50	45337
-49	45510.3
-48	46296.2
-47	45512
-46	45363
-45	45217.6
-44	46367.3
-43	45300.4
-42	47029.1
-41	46148
-40	46976.3
-39	46765.5
-38	46019
-37	46924.1
-36	48252.4
-35	47974
-34	48735.1
-33	48762.4
-32	50215.4
-31	49546.2
-30	50435
-29	51401.3
-28	49906.3
-27	46856.1
-26	46065.6
-25	47172.2
-24	46606.3
-23	48126.5
-22	46854.1
-21	49568.8
-20	48576.8
-19	49486.6
-18	49988.1
-17	51926.1
-16	51074.7
-15	52466
-14	53550.9
-13	53967
-12	56727.6
-11	56303.7
-10	58619.1
-9	60337
-8	61759.7
-7	63236
-6	59508.2
-5	66919.2
-4	68191.2
-3	69134.8
-2	71612.4
-1	60063.1
0	224603
1	60063.1
2	71612.4
3	69134.8
4	68191.2
5	66919.2
6	59508.2
7	63236
8	61759.7
9	60337
10	58619.1
11	56303.7
12	56727.6
13	53967
14	53550.9
15	52466
16	51074.7
17	51926.1
18	49988.1
19	49486.6
20	48576.8
21	49568.8
22	46854.1
23	48126.5
24	46606.3
25	47172.2
26	46065.6
27	46856.1
28	49906.3
29	51401.3
30	50435
31	49546.2
32	50215.4
33	48762.4
34	48735.1
35	47974
36	48252.4
37	46924.1
38	46019
39	46765.5
40	46976.3
41	46148
42	47029.1
43	45300.4
44	46367.3
45	45217.6
46	45363
47	45512
48	46296.2
49	45510.3
50	45337
51	45622.8
52	45481.3
53	45521.1
54	45954.8
55	45543.1
56	45914.1
57	46171.5
58	46118.2
59	46176.9
60	46587.4
61	46107.9
62	46328
63	45810.2
64	46059.4
65	45255.4
66	45680.2
67	44756.4
68	45914.7
69	45276.6
70	44877.1
71	45577.6
72	45066.7
73	43953.1
74	45507.9
75	44618.2
76	44463.2
77	44379.4
78	43971.8
79	44384.1
80	43741.6
81	44414.1
82	43792.2
83	44033.3
84	44569.4
85	44152.6
86	44287.6
87	43885.7
88	44307.9
89	44532.2
90	43222
91	45030.3
92	43808.2
93	44515.9
94	43921.2
95	44087.2
96	44604.2
97	43437.4
98	44195.6
99	44368.8
100	43886.8
101	44730.7
102	43940.8
103	44598.4
104	44276.1
105	43934.2
106	44427.4
107	43976.8
108	43807.2
109	44147.8
110	44118.6
111	44420.4
112	43770.3
113	44483.7
114	44579.3
115	43898
116	43793
117	43984.8
118	43864.3
119	43900.5
120	44206
121	43392.4
122	44300.7
123	43805.3
124	43800.6
125	43118.1
126	43719.6
127	43488.3
128	44073.7
129	42978.5
130	43978.8
131	43386.3
132	43736.2
133	43750
134	42344.7
135	44460.6
136	43139
137	43118.6
138	43595.3
139	43444.7
140	43225.3
141	43058.6
142	42823.1
143	43244.6
144	42238.7
145	43121.4
146	42643.6
147	42273.6
148	42525.8
149	42502.7
150	42128.1
151	42615.3
152	41910.7
153	42536.9
154	41724.1
155	41420.3
156	41919.3
157	41790.8
158	41385.8
159	41952.1
160	41736.4
161	41540.2
162	42195.1
163	41277.6
164	41346.8
165	41754.2
166	41328.4
167	40683.7
168	41300
169	41437.2
170	41597.9
171	41159.2
172	40978.5
173	41262.6
174	40817.5
175	40918
176	41618.8
177	40711.8
178	41555.2
179	41237.4
180	40616.6
181	41317.8
182	40741.2
183	41379.2
184	40175.4
185	41293.5
186	40943.2
187	41146.8
188	40820.3
189	41035.5
190	41597.1
191	41210.5
192	40523.7
193	40332.2
194	40527.3
195	40657.4
196	40599.3
197	41190.7
198	40413.7
199	40604.5
200	40746.2
