Position	Value
-200	4.639
-199	3.5358
-198	5.1049
-197	10.3192
-196	4.5881
-195	16.2021
-194	1.619
-193	7.6675
-192	7.6726
-191	11.2385
-190	6.0639
-189	7.186
-188	6.4554
-187	14.9484
-186	2.1568
-185	3.527
-184	6.027
-183	2.0608
-182	22.1039
-181	11.5576
-180	26.3763
-179	7.4497
-178	4.0419
-177	11.4019
-176	6.0462
-175	9.301
-174	15.546
-173	10.8129
-172	6.7255
-171	7.2556
-170	3.5771
-169	2.9999
-168	8.019
-167	3.2689
-166	4.8642
-165	3.5322
-164	6.497
-163	4.6017
-162	8.1777
-161	7.3173
-160	11.6534
-159	4.6883
-158	5.4992
-157	4.6472
-156	7.0222
-155	1.9249
-154	5.3048
-153	3.4956
-152	2.1975
-151	4.064
-150	2.692
-149	2.5574
-148	5.7922
-147	3.0007
-146	4.1258
-145	5.9537
-144	2.2289
-143	6.4748
-142	2.6112
-141	7.024
-140	3.5708
-139	4.9146
-138	4.2405
-137	5.9164
-136	4.7067
-135	3.7734
-134	3.2807
-133	4.4058
-132	6.4241
-131	6.8577
-130	6.5093
-129	5.6893
-128	4.2239
-127	6.8557
-126	14.6074
-125	6.1127
-124	4.7387
-123	5.7157
-122	4.5649
-121	4.9117
-120	4.5919
-119	4.9064
-118	3.8474
-117	2.6387
-116	2.8297
-115	1.7947
-114	2.1615
-113	2.7914
-112	2.6398
-111	2.3658
-110	4.7828
-109	3.7046
-108	23.9919
-107	2.3391
-106	5.3459
-105	3.4434
-104	3.7594
-103	4.9236
-102	3.8908
-101	3.6704
-100	18.8933
-99	3.9296
-98	3.7232
-97	3.2583
-96	4.8407
-95	17.3256
-94	6.8651
-93	32.3663
-92	9.5204
-91	10.5186
-90	20.3063
-89	2.8291
-88	6.7925
-87	3.1809
-86	8.6074
-85	6.4379
-84	5.6743
-83	12.7009
-82	10.7453
-81	12.6734
-80	5.4863
-79	7.0942
-78	6.3246
-77	3.7489
-76	14.2719
-75	2.6359
-74	8.9657
-73	8.1901
-72	2.411
-71	1.8744
-70	2.537
-69	7.432
-68	3.1054
-67	13.282
-66	2.3219
-65	7.5078
-64	10.867
-63	9.0141
-62	6.9097
-61	12.2991
-60	4.8242
-59	15.6452
-58	4.4158
-57	7.7011
-56	4.4489
-55	5.7671
-54	11.0611
-53	3.675
-52	3.3352
-51	15.2022
-50	3.9595
-49	18.6893
-48	8.8326
-47	5.7286
-46	17.9503
-45	7.3731
-44	21.4242
-43	2.1311
-42	7.8217
-41	25.5862
-40	2.8611
-39	18.3508
-38	3.6159
-37	7.4114
-36	28.5724
-35	4.4637
-34	23.7687
-33	5.6893
-32	9.5556
-31	15.8448
-30	3.9926
-29	26.3093
-28	7.2431
-27	14.0593
-26	16.6875
-25	2.3978
-24	18.166
-23	7.1956
-22	3.6318
-21	11.8088
-20	5.6109
-19	6.8512
-18	5.7109
-17	13.5711
-16	12.6317
-15	6.1817
-14	19.473
-13	4.6374
-12	3.3513
-11	11.6714
-10	2.0448
-9	2.6168
-8	5.4388
-7	2.5067
-6	5.1222
-5	5.562
-4	1.7262
-3	5.6813
-2	5.3446
-1	3.8494
0	4.3927
1	1.6629
2	8.1418
3	8.7771
4	4.6311
5	6.2867
6	5.8271
7	8.575
8	4.5316
9	5.1963
10	20.7993
11	16.4615
12	4.5333
13	6.1132
14	13.9451
15	5.6706
16	7.407
17	4.5346
18	8.5813
19	5.0806
20	7.7822
21	3.8963
22	2.795
23	7.1223
24	6.1326
25	8.3579
26	21.4588
27	13.571
28	24.7465
29	9.8068
30	6.1606
31	13.4653
32	13.4346
33	12.1042
34	32.451
35	12.6972
36	21.4639
37	24.1335
38	21.139
39	18.8118
40	6.2177
41	36.4949
42	6.683
43	32.0946
44	28.3721
45	19.9801
46	37.2759
47	6.4266
48	6.3686
49	9.2901
50	13.7848
51	14.1574
52	24.5142
53	25.5375
54	4.7739
55	19.3993
56	16.2718
57	2.9471
58	2.1931
59	1.5225
60	7.7788
61	10.126
62	15.1404
63	5.5614
64	6.0684
65	9.5111
66	2.0008
67	6.7149
68	6.1241
69	18.7039
70	12.5818
71	10.1156
72	5.2825
73	7.9938
74	11.8175
75	17.705
76	12.0772
77	24.0586
78	10.4037
79	6.9514
80	19.2794
81	7.3506
82	7.4247
83	14.27
84	3.5896
85	10.6698
86	10.7016
87	5.1408
88	3.9634
89	8.7991
90	7.9183
91	4.9589
92	17.2586
93	2.2829
94	15.5324
95	10.4951
96	3.5588
97	4.2106
98	3.4713
99	4.1092
100	7.8677
101	4.8728
102	15.8767
