Position,Value
-200,143.024
-199,267.7253
-198,282.1735
-197,286.9457
-196,308.1756
-195,287.8229
-194,302.1047
-193,289.7148
-192,278.5731
-191,309.0594
-190,311.4293
-189,294.7738
-188,295.508
-187,283.8672
-186,281.0876
-185,298.9295
-184,257.2128
-183,320.1308
-182,289.1512
-181,313.6897
-180,296.8141
-179,299.6248
-178,303.4795
-177,318.6234
-176,276.0046
-175,311.2281
-174,317.7509
-173,310.9978
-172,284.697
-171,277.3689
-170,317.357
-169,296.0488
-168,272.4183
-167,304.1232
-166,304.1374
-165,311.1218
-164,309.3666
-163,295.2953
-162,292.0898
-161,296.951
-160,291.0505
-159,310.0034
-158,303.3785
-157,321.3611
-156,314.5005
-155,299.5542
-154,299.0715
-153,313.1733
-152,306.5625
-151,306.7022
-150,297.2278
-149,313.7298
-148,307.6896
-147,313.6215
-146,292.4059
-145,260.8485
-144,282.5986
-143,317.9578
-142,322.6097
-141,307.4058
-140,311.8279
-139,300.0912
-138,297.3832
-137,307.5548
-136,310.2598
-135,326.2061
-134,317.6982
-133,300.5753
-132,323.0692
-131,332.1633
-130,319.5412
-129,363.8064
-128,325.2255
-127,361.8584
-126,352.8487
-125,394.2233
-124,368.4934
-123,344.35
-122,330.0304
-121,356.6272
-120,304.1277
-119,293.207
-118,296.5766
-117,286.5489
-116,295.4366
-115,308.0581
-114,310.6484
-113,295.4527
-112,303.8412
-111,297.0905
-110,302.3175
-109,317.9509
-108,316.7892
-107,286.3892
-106,322.8914
-105,340.2722
-104,314.6918
-103,309.7155
-102,305.8424
-101,309.9869
-100,302.1116
-99,301.9128
-98,295.4014
-97,320.4371
-96,315.2772
-95,322.573
-94,320.8919
-93,326.699
-92,325.5372
-91,328.4279
-90,338.9809
-89,325.4168
-88,313.3457
-87,314.9819
-86,309.7479
-85,298.1354
-84,295.0814
-83,302.1948
-82,294.3405
-81,335.3547
-80,315.7426
-79,315.614
-78,309.718
-77,302.0946
-76,294.4281
-75,297.3396
-74,313.6775
-73,320.2027
-72,326.2396
-71,334.6182
-70,321.5021
-69,326.4526
-68,302.4032
-67,305.4792
-66,312.3336
-65,324.744
-64,356.6465
-63,352.0438
-62,347.8789
-61,332.6902
-60,369.4188
-59,353.7808
-58,344.9883
-57,353.2049
-56,338.4686
-55,304.8296
-54,337.4292
-53,303.8228
-52,310.3921
-51,333.7112
-50,317.9707
-49,297.1603
-48,321.6132
-47,324.0314
-46,308.1691
-45,311.0932
-44,325.154
-43,318.3636
-42,333.3136
-41,343.8364
-40,357.8984
-39,327.9553
-38,352.3618
-37,334.6408
-36,349.7036
-35,412.1734
-34,396.2893
-33,400.7824
-32,454.2762
-31,450.474
-30,479.7013
-29,458.8786
-28,430.9351
-27,297.8978
-26,218.9144
-25,249.6426
-24,306.3579
-23,358.9011
-22,407.4012
-21,372.9211
-20,387.5202
-19,390.6609
-18,405.3013
-17,421.9045
-16,397.8763
-15,377.2727
-14,413.5462
-13,431.7617
-12,437.366
-11,519.2692
-10,525.7451
-9,598.4534
-8,660.7937
-7,764.5816
-6,969.7911
-5,1287.5316
-4,1794.9619
-3,2725.9479
-2,4407.7422
-1,6395.251
0,65520.3417
1,6395.251
2,4407.7422
3,2725.9479
4,1794.9619
5,1287.5316
6,969.7911
7,764.5816
8,660.7937
9,598.4534
10,525.7451
11,519.2692
12,437.366
13,431.7617
14,413.5462
15,377.2727
16,397.8763
17,421.9045
18,405.3013
19,390.6609
20,387.5202
21,372.9211
22,407.4012
23,358.9011
24,306.3579
25,249.6426
26,218.9144
27,297.8978
28,430.9351
29,458.8786
30,479.7013
31,450.474
32,454.2762
33,400.7824
34,396.2893
35,412.1734
36,349.7036
37,334.6408
38,352.3618
39,327.9553
40,357.8984
41,343.8364
42,333.3136
43,318.3636
44,325.154
45,311.0932
46,308.1691
47,324.0314
48,321.6132
49,297.1603
50,317.9707
51,333.7112
52,310.3921
53,303.8228
54,337.4292
55,304.8296
56,338.4686
57,353.2049
58,344.9883
59,353.7808
60,369.4188
61,332.6902
62,347.8789
63,352.0438
64,356.6465
65,324.744
66,312.3336
67,305.4792
68,302.4032
69,326.4526
70,321.5021
71,334.6182
72,326.2396
73,320.2027
74,313.6775
75,297.3396
76,294.4281
77,302.0946
78,309.718
79,315.614
80,315.7426
81,335.3547
82,294.3405
83,302.1948
84,295.0814
85,298.1354
86,309.7479
87,314.9819
88,313.3457
89,325.4168
90,338.9809
91,328.4279
92,325.5372
93,326.699
94,320.8919
95,322.573
96,315.2772
97,320.4371
98,295.4014
99,301.9128
100,302.1116
101,309.9869
102,305.8424
103,309.7155
104,314.6918
105,340.2722
106,322.8914
107,286.3892
108,316.7892
109,317.9509
110,302.3175
111,297.0905
112,303.8412
113,295.4527
114,310.6484
115,308.0581
116,295.4366
117,286.5489
118,296.5766
119,293.207
120,304.1277
121,356.6272
122,330.0304
123,344.35
124,368.4934
125,394.2233
126,352.8487
127,361.8584
128,325.2255
129,363.8064
130,319.5412
131,332.1633
132,323.0692
133,300.5753
134,317.6982
135,326.2061
136,310.2598
137,307.5548
138,297.3832
139,300.0912
140,311.8279
141,307.4058
142,322.6097
143,317.9578
144,282.5986
145,260.8485
146,292.4059
147,313.6215
148,307.6896
149,313.7298
150,297.2278
151,306.7022
152,306.5625
153,313.1733
154,299.0715
155,299.5542
156,314.5005
157,321.3611
158,303.3785
159,310.0034
160,291.0505
161,296.951
162,292.0898
163,295.2953
164,309.3666
165,311.1218
166,304.1374
167,304.1232
168,272.4183
169,296.0488
170,317.357
171,277.3689
172,284.697
173,310.9978
174,317.7509
175,311.2281
176,276.0046
177,318.6234
178,303.4795
179,299.6248
180,296.8141
181,313.6897
182,289.1512
183,320.1308
184,257.2128
185,298.9295
186,281.0876
187,283.8672
188,295.508
189,294.7738
190,311.4293
191,309.0594
192,278.5731
193,289.7148
194,302.1047
195,287.8229
196,308.1756
197,286.9457
198,282.1735
199,267.7253
200,143.024
