Position,Value
-200,10962.1
-199,11244.8
-198,11075.6
-197,11098.2
-196,11566
-195,11432.1
-194,11419.4
-193,11341.5
-192,11313.5
-191,11138
-190,11054.6
-189,11030.6
-188,11264.8
-187,11336.2
-186,11269.4
-185,11265
-184,11150.8
-183,11470.7
-182,11196.4
-181,11211.5
-180,11309.6
-179,11274.2
-178,11389.8
-177,11560.9
-176,11255.4
-175,11175.2
-174,11334.2
-173,11257
-172,11068.9
-171,11352.9
-170,11199.1
-169,11109.4
-168,11089.3
-167,11085.4
-166,11433.8
-165,11444.5
-164,11465.3
-163,11404
-162,11345.3
-161,11573.5
-160,11222.7
-159,11310
-158,11316.4
-157,11139.8
-156,11264
-155,11184.6
-154,11208.5
-153,11482
-152,11534.3
-151,11393.7
-150,11432.4
-149,11260.1
-148,11366.8
-147,11370.7
-146,11520.8
-145,11271.6
-144,11793.2
-143,11686.3
-142,11327.1
-141,11504
-140,11368.6
-139,11361.7
-138,11393.3
-137,11059.5
-136,11334
-135,11010.2
-134,11128.5
-133,11143
-132,11443.3
-131,11195.6
-130,11035
-129,11151.3
-128,11103.7
-127,11222.9
-126,10992.9
-125,11052.2
-124,11131.8
-123,11039.1
-122,11164.3
-121,11178.6
-120,11232
-119,11545.8
-118,11302.8
-117,11592.2
-116,11383.2
-115,11484.8
-114,11592.4
-113,11672.3
-112,11683.1
-111,11710.5
-110,11691.5
-109,11745.6
-108,11436.3
-107,11553.7
-106,11320.9
-105,11288.6
-104,11272.8
-103,11122.4
-102,10924.2
-101,11432.5
-100,10995
-99,11243.1
-98,11429.8
-97,11463.4
-96,11776.5
-95,11734.7
-94,11685.9
-93,11803.7
-92,11616.1
-91,11676.6
-90,11943.8
-89,12015.7
-88,12165.8
-87,12083.7
-86,12087.4
-85,12064.7
-84,12211.3
-83,11698.3
-82,12076.9
-81,11716.9
-80,11877.2
-79,11623.6
-78,11704.4
-77,11594.5
-76,11164.2
-75,11503.6
-74,11381.3
-73,11745.8
-72,11854.4
-71,11883.9
-70,11745.8
-69,11792.7
-68,11720.9
-67,11859.6
-66,12108.4
-65,12000.4
-64,11887.2
-63,11793.4
-62,11994.2
-61,11709.7
-60,11891.4
-59,12090.2
-58,12314.6
-57,12142.9
-56,12048.2
-55,12076.6
-54,12111.9
-53,12135.1
-52,12162
-51,11903.9
-50,11603.5
-49,11374.2
-48,11296.5
-47,11332.1
-46,11090.2
-45,11031.7
-44,11332.2
-43,10737.8
-42,10942.6
-41,11163.4
-40,11183.9
-39,11463.6
-38,11581.7
-37,11839.1
-36,12055.8
-35,11997.8
-34,12164
-33,12265.1
-32,12712.2
-31,13204
-30,13593.3
-29,13868.9
-28,14292.5
-27,14309.4
-26,13348.2
-25,12986.2
-24,12144.8
-23,11613.8
-22,11845.6
-21,12018
-20,12448.2
-19,12875.8
-18,13630.6
-17,14348.2
-16,14906.7
-15,15709.3
-14,16227.4
-13,17533.3
-12,18565.9
-11,19812.2
-10,21561
-9,23761
-8,27995.2
-7,29960.1
-6,33654.3
-5,39966.7
-4,42426.7
-3,49147.7
-2,65018
-1,63553
0,294476
1,63553
2,65018
3,49147.7
4,42426.7
5,39966.7
6,33654.3
7,29960.1
8,27995.2
9,23761
10,21561
11,19812.2
12,18565.9
13,17533.3
14,16227.4
15,15709.3
16,14906.7
17,14348.2
18,13630.6
19,12875.8
20,12448.2
21,12018
22,11845.6
23,11613.8
24,12144.8
25,12986.2
26,13348.2
27,14309.4
28,14292.5
29,13868.9
30,13593.3
31,13204
32,12712.2
33,12265.1
34,12164
35,11997.8
36,12055.8
37,11839.1
38,11581.7
39,11463.6
40,11183.9
41,11163.4
42,10942.6
43,10737.8
44,11332.2
45,11031.7
46,11090.2
47,11332.1
48,11296.5
49,11374.2
50,11603.5
51,11903.9
52,12162
53,12135.1
54,12111.9
55,12076.6
56,12048.2
57,12142.9
58,12314.6
59,12090.2
60,11891.4
61,11709.7
62,11994.2
63,11793.4
64,11887.2
65,12000.4
66,12108.4
67,11859.6
68,11720.9
69,11792.7
70,11745.8
71,11883.9
72,11854.4
73,11745.8
74,11381.3
75,11503.6
76,11164.2
77,11594.5
78,11704.4
79,11623.6
80,11877.2
81,11716.9
82,12076.9
83,11698.3
84,12211.3
85,12064.7
86,12087.4
87,12083.7
88,12165.8
89,12015.7
90,11943.8
91,11676.6
92,11616.1
93,11803.7
94,11685.9
95,11734.7
96,11776.5
97,11463.4
98,11429.8
99,11243.1
100,10995
101,11432.5
102,10924.2
103,11122.4
104,11272.8
105,11288.6
106,11320.9
107,11553.7
108,11436.3
109,11745.6
110,11691.5
111,11710.5
112,11683.1
113,11672.3
114,11592.4
115,11484.8
116,11383.2
117,11592.2
118,11302.8
119,11545.8
120,11232
121,11178.6
122,11164.3
123,11039.1
124,11131.8
125,11052.2
126,10992.9
127,11222.9
128,11103.7
129,11151.3
130,11035
131,11195.6
132,11443.3
133,11143
134,11128.5
135,11010.2
136,11334
137,11059.5
138,11393.3
139,11361.7
140,11368.6
141,11504
142,11327.1
143,11686.3
144,11793.2
145,11271.6
146,11520.8
147,11370.7
148,11366.8
149,11260.1
150,11432.4
151,11393.7
152,11534.3
153,11482
154,11208.5
155,11184.6
156,11264
157,11139.8
158,11316.4
159,11310
160,11222.7
161,11573.5
162,11345.3
163,11404
164,11465.3
165,11444.5
166,11433.8
167,11085.4
168,11089.3
169,11109.4
170,11199.1
171,11352.9
172,11068.9
173,11257
174,11334.2
175,11175.2
176,11255.4
177,11560.9
178,11389.8
179,11274.2
180,11309.6
181,11211.5
182,11196.4
183,11470.7
184,11150.8
185,11265
186,11269.4
187,11336.2
188,11264.8
189,11030.6
190,11054.6
191,11138
192,11313.5
193,11341.5
194,11419.4
195,11432.1
196,11566
197,11098.2
198,11075.6
199,11244.8
200,10962.1
